"Region";"Alders gruppe";"Indlæggelser"
;0-9;2
Hovedstaden;0-9;114
Midtjylland;0-9;22
Nordjylland;0-9;7
Sjælland;0-9;19
Syddanmark;0-9;22
;10-19;0
Hovedstaden;10-19;91
Midtjylland;10-19;28
Nordjylland;10-19;10
Sjælland;10-19;40
Syddanmark;10-19;18
;20-29;14
Hovedstaden;20-29;305
Midtjylland;20-29;83
Nordjylland;20-29;42
Sjælland;20-29;82
Syddanmark;20-29;82
;30-39;21
Hovedstaden;30-39;496
Midtjylland;30-39;124
Nordjylland;30-39;39
Sjælland;30-39;122
Syddanmark;30-39;105
;40-49;33
Hovedstaden;40-49;656
Midtjylland;40-49;195
Nordjylland;40-49;71
Sjælland;40-49;227
Syddanmark;40-49;171
;50-59;43
Hovedstaden;50-59;998
Midtjylland;50-59;361
Nordjylland;50-59;114
Sjælland;50-59;342
Syddanmark;50-59;273
;60-69;25
Hovedstaden;60-69;1008
Midtjylland;60-69;332
Nordjylland;60-69;142
Sjælland;60-69;393
Syddanmark;60-69;286
;70-79;12
Hovedstaden;70-79;1485
Midtjylland;70-79;462
Nordjylland;70-79;224
Sjælland;70-79;564
Syddanmark;70-79;368
;80-89;5
Hovedstaden;80-89;1293
Midtjylland;80-89;315
Nordjylland;80-89;177
Sjælland;80-89;457
Syddanmark;80-89;276
;90+;0
Hovedstaden;90+;388
Midtjylland;90+;78
Nordjylland;90+;39
Sjælland;90+;131
Syddanmark;90+;60
